PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
브라더푸드,식품제조가공업,20210464333,20250318,20250318,-,영업허가·등록취소,(20241220)영업장 시설물 전부를 철거함,충청남도 공주시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-03-17 00:00:00.0,2025-03-19 17:51:54.932,충청남도 공주시,4656272,충청남도,충청남도 공주시,2025-03-18,1,1,1,브라더푸드,식품제조가공업,충청남도,충청남도 공주시
(주)화란수,식품제조가공업,20130459094,20250508,20250508,-,영업허가·등록취소,(20250327)영업시설의 전부를 철거,충청남도 보령시,,,영업등록취소,식품위생법 제36조(시설기준),2027-05-07 00:00:00.0,2025-05-09 20:41:52.326,충청남도 보령시,4663841,충청남도,충청남도 보령시,2025-05-08,2,2,1,(주)화란수,식품제조가공업,충청남도,충청남도 보령시
주식회사 버거식품,식품제조가공업,20210206340,20250509,20250509,-,영업허가·등록취소,(20241209)영업시설물 전부 철거,인천광역시 부평구,,,영업등록취소,식품위생법 제36조(시설기준),2027-05-08 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 부평구,4668655,인천광역시,인천광역시 부평구,2025-05-09,1,1,1,주식회사 버거식품,식품제조가공업,인천광역시,인천광역시 부평구
다원푸드,식품제조가공업,20240554840,20250609,20250609,-,영업허가·등록취소,(20250326)시설물 멸실,경기도 김포시,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-06-08 00:00:00.0,2025-06-10 16:42:14.757,경기도 김포시,4667673,경기도,경기도 김포시,2025-06-09,1,1,1,다원푸드,식품제조가공업,경기도,경기도 김포시
(주)동선,식품제조가공업,19990275048,20250609,20250609,-,영업허가·등록취소,(20250314)영업시설의 전부를 철거(시설물 멸실),경기도 광주시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-06-08 00:00:00.0,2025-06-10 19:42:03.353,경기도 광주시,4660834,경기도,경기도 광주시,2025-06-09,8,4,4,(주)동선,식품제조가공업,경기도,경기도 광주시
(주)에스피팩토리,식품제조가공업,20140347052,20250609,20250609,-,영업허가·등록취소,(20250221)타업소 운영중,경기도 용인시 기흥구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-06-08 00:00:00.0,2025-06-26 17:42:11.494,경기도 용인시,4670606,경기도,경기도 용인시,2025-06-09,1,1,1,(주)에스피팩토리,식품제조가공업,경기도,경기도 용인시
힐링숨농장 영농조합법인,식품제조가공업,20090566029,20250616,20250611,-,영업소폐쇄,(20250514)영업소 폐쇄,경상북도 영덕군,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2027-06-15 00:00:00.0,2025-12-07 18:40:42.137,경상북도 영덕군,4698755,경상북도,경상북도 영덕군,2025-06-16,1,1,1,힐링숨농장 영농조합법인,식품제조가공업,경상북도,경상북도 영덕군
주식회사 러빙네이쳐,식품제조가공업,20230512676,20250925,20251027,-,영업허가·등록취소,(20250821)시설물 멸실,경기도 김포시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-09-24 00:00:00.0,2025-10-28 21:40:47.338,경기도 김포시,4692001,경기도,경기도 김포시,2025-09-25,1,1,1,주식회사 러빙네이쳐,식품제조가공업,경기도,경기도 김포시
왕후쌀빵나라,식품제조가공업,20230902026,20251107,20251107,-,영업허가·등록취소,(20250807)영업장 내 시설물 전부 철거,경상남도 합천군,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-11-06 00:00:00.0,2025-11-07 21:40:52.851,경상남도 합천군,4683711,경상남도,경상남도 합천군,2025-11-07,1,1,1,왕후쌀빵나라,식품제조가공업,경상남도,경상남도 합천군
(주)원베이커리,식품제조가공업,20190156665,20251120,20251120,-,영업허가·등록취소,(20251021)정당한사유없이6개월이상휴업한경우,부산광역시 기장군,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2027-11-19 00:00:00.0,2025-11-21 19:40:38.834,부산광역시 기장군,4695954,부산광역시,부산광역시 기장군,2025-11-20,2,2,2,(주)원베이커리,식품제조가공업,부산광역시,부산광역시 기장군
