PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
실리콘지퍼백,수입신고 무신고 제품 수입판매,(주)가승물류,전남광주통합특별시 광양시,,,,데이터없음,1대1 전화 및 문자전달,-,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1236232, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1236233, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1236234, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1236231",F0000000000000,2020-04-10 16:54:30.477533,3000110922,,1등급,기구 및 용기포장,20190014192,전남광주통합특별시,전남광주통합특별시 광양시,2020-04-10
후레쉬캔디 딸기맛,대장균군 및 세균수 기준초과 부적합,(유)대원푸드,전북특별자치도 부안군,,8809089690056,,2019-09-04,,없음,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1056022, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1056463",C0302010400000,2019-11-06 13:27:39.403114,3000104323,201904800073,3등급,샤베트,20190480007,전북특별자치도,전북특별자치도 부안군,2019-11-06
서울 찰진 옥수수,대장균군 및 세균수 기준초과 부적합,(유)대원푸드,전북특별자치도 부안군,,8809089691367,,2019-10-01,직접수거,없음,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1056462, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1056020",C0302010400000,2019-11-06 13:27:04.20523,3000104326,201904800078,,샤베트,20190480007,전북특별자치도,전북특별자치도 부안군,2019-11-06
젤리 콕콕 딸기,황색포도상구균 검출,동그린주식회사,강원특별자치도 강릉시,,8809106922306,70ml,2019.2.15.,거래처((주)디핀다트코리아) 직접회수,미표시 제품,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=974452, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=974462",C0302030000000,2019-08-08 17:16:36.862515,3000098364,19960386249101,2등급,빙과,19960386249,강원특별자치도,강원특별자치도 강릉시,2019-08-08
샤브샤브(소),니켈 기준 초과 검출,주식회사 유진토스코,인천광역시 남동구,,8809016411006,개,표시대상 아님,해당제조기간 이후 출고된 거래처를 대상으로 재고 확인 및 회수,표시대상 아님,기구용기포장,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=935189,F0500000100000,2019-06-26 17:03:33.402627,3000094881,,2등급,금속제,20120199685,인천광역시,인천광역시 남동구,2019-06-26
스파이 클래식(SPY CLASSIC),허용 외 타르색소(아조루빈) 검출,주식회사 오아이오,경기도 안산시 단원구,,,275ml,2019-01-15,업체 방문하여 직접 회수,,주류,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=896262, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=898697",C0314050000000,2019-05-23 10:05:10.814102,3000092419,,1등급,과실주,20172820602,경기도,경기도 안산시,2019-05-23
스파이 클래식(SPY CLASSIC),허용 외 타르색소(아조루빈) 검출,주식회사 오아이오,경기도 안산시 단원구,,,275ml,2018-12-01,업체 방문 회수,,주류,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=898688, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=896261",C0314050000000,2019-05-23 10:04:05.410463,3000092416,,1등급,과실주,20172820602,경기도,경기도 안산시,2019-05-23
스파이 레드(SPY RED),허용 외 타르색소(아조루빈) 검출,주식회사 오아이오,경기도 안산시 단원구,,,275ml,2018-10-20,업체 직접 방문 회수,,주류,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=896256, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=898685",C0314050000000,2019-05-23 10:03:07.781825,3000092413,,1등급,과실주,20172820602,경기도,경기도 안산시,2019-05-23
쫀득한 대봉말랭이,세균발육 양성,한울푸드,경상북도 영천시,,미표시제품,300g,2018.7.30,거래처 유통판매업소 (이랜드 각지점) 37개소로 부터 반품,,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=675740, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=675741",C0315070100000,2018-09-18 14:20:59.723146,3000080978,,3등급,과.채가공품,20160555117,경상북도,경상북도 영천시,2018-09-18
영양공급용기(HS-FB-900U),총용출량(n-헵탄용매) 기준치 초과(뚜껑부분),협성메디칼(주),경기도 양주시,,8809095010008,1개,데이터없음,방문 및 택배회수,제조일로부터 3년,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=630504, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=630505, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=630506",F0100000100000,2018-08-23 17:42:54.802639,3000078809,,3등급,폴리염화비닐,,경기도,경기도 양주시,2018-08-23
일렉트로아이스볼 레몬소다향,황색포도상구균 검출 부적합,(주)동학식품,경기도 안성시,,8809072598567,63ml,2018.6.18,영업부에서 회수,미표시제품,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=617234, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=617235",C0101040000000,2018-08-14 18:33:14.211848,3000078216,2001036009354,2등급,빙과류,20010360093,경기도,경기도 안성시,2018-08-14
