LCNS_NO,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
20190189737,2,2,1,우닉(UNIK),식품제조가공업,대구광역시,대구광역시 달성군
20190189844,6,3,3,프로틴컴퍼니,식품제조가공업,경상북도,경상북도 성주군
20190189891,4,4,2,주식회사 감미,식품제조가공업,대구광역시,대구광역시 달성군
20190189942,1,1,1,디저트본,식품제조가공업,대구광역시,대구광역시 달성군
20190189947,3,3,3,농업회사법인(주)아름팜,식품제조가공업,대구광역시,대구광역시 달성군
20190192197,2,2,2,(주)신영수산,식품제조가공업,인천광역시,인천광역시 제물포구
20190192198,4,4,2,(주)와이비씨푸드,식품제조가공업,인천광역시,인천광역시 제물포구
20190192219,4,4,2,(주)에스와이컴퍼니,식품제조가공업,인천광역시,인천광역시 제물포구
20190192413,2,2,2,(주)은해랑,식품제조가공업,인천광역시,인천광역시 제물포구
20190192431,2,2,2,진양수산,식품제조가공업,인천광역시,인천광역시 제물포구
20190192502,1,1,1,주식회사 경화기업,식품제조가공업,인천광역시,인천광역시 제물포구
20190192613,4,4,4,자연앤푸드,식품제조가공업,인천광역시,인천광역시 제물포구
20190192622,2,2,2,주식회사 그리심,식품제조가공업,인천광역시,인천광역시 제물포구
20190192638,1,1,1,윈윈수산식품센터,식품제조가공업,인천광역시,인천광역시 제물포구
20190192825,1,1,1,신해,식품제조가공업,인천광역시,인천광역시 제물포구
20190194152,1,1,1,도도도 주식회사,식품제조가공업,인천광역시,인천광역시 제물포구
20190195140,2,2,2,쿠키지,식품제조가공업,인천광역시,인천광역시 미추홀구
20190199627,1,1,1,황홀스레,식품제조가공업,인천광역시,인천광역시 연수구
20190199631,2,2,2,온쿡컴퍼니 주식회사,식품제조가공업,인천광역시,인천광역시 연수구
20190202364,1,1,1,(주)맛요일,집단급식소 식품판매업,인천광역시,인천광역시 남동구
20190202404,2,2,2,(주)해인푸드,식품제조가공업,인천광역시,인천광역시 남동구
20190202430,2,1,1,(주)샛별푸드,식품제조가공업,인천광역시,인천광역시 검단구
20190203002,2,2,2,새턴주식회사,식품제조가공업,인천광역시,인천광역시 남동구
20190203246,2,2,2,(주)남영씨푸드,식품제조가공업,인천광역시,인천광역시 남동구
20190203296,2,2,2,주식회사 다원식품,식품제조가공업,인천광역시,인천광역시 남동구
20190203517,4,4,4,창영이팩토리,식품제조가공업,인천광역시,인천광역시 남동구
20190206016,1,1,1,주식회사 에스엔비,식품제조가공업,인천광역시,인천광역시 부평구
20190206025,2,1,1,(주)준유통,식품제조가공업,인천광역시,인천광역시 계양구
20190206109,1,1,1,주식회사 바른공장,식품제조가공업,인천광역시,인천광역시 부평구
